id,name_JP,unknown_JP,unit_JP,naming,name,unit,unknown,category,***,sort,_tileType,_idRenderData,tiles,altTiles,anime,skins,size,colorMod,colorType,recipeKey,factory,components,disassemble,defMat,tierGroup,value,LV,chance,quality,HP,weight,electricity,trait,elements,range,attackType,offense,substats,defense,lightData,idExtra,idToggleExtra,idActorEx,idSound,tag,workTag,filter,roomName_JP,roomName,detail_JP,detail
YarCraft_helm_wood,兜,,個,m,helm,,,head,,100,,obj_S flat,1233,,,,,100,,*,factory_wood,"log,+rune",,oak,metal,800,8,1000,0,100,700,0,,,1,,,,"3,5",,,,,,"noDrop,noShop",,,,,頭部を守る為の防具だ。,A standard helm.
YarCraft_helm_stone,兜,,個,m,helm,,,head,,100,,obj_S flat,1233,,,,,100,,*,factory_stone,"rock,+rune",,granite,metal,800,8,1000,0,100,700,0,,,1,,,,"3,5",,,,,,"noDrop,noShop",,,,,頭部を守る為の防具だ。,A standard helm.
YarCraft_helm_metal,兜,,個,m,helm,,,head,,100,,obj_S flat,1233,,,,,100,,*,factory_metal,"ingot,+rune",,iron,metal,800,8,1000,0,100,700,0,,,1,,,,"3,5",,,,,,"noDrop,noShop",,,,,頭部を守る為の防具だ。,A standard helm.
YarCraft_helm_cloth,兜,,個,m,helm,,,head,,100,,obj_S flat,1233,,,,,100,,*,loom,"texture,+rune",,cotton,leather,800,8,1000,0,100,700,0,,,1,,,,"3,5",,,,,,"noDrop,noShop",,,,,頭部を守る為の防具だ。,A standard helm.
YarCraft_hat_feather_wood,羽帽子,,個,m,feather hat,,,head,,100,,obj_S flat,1236,,,,,100,,*,factory_wood,"log,texture,+rune",,oak,metal,300,1,1000,0,100,500,0,,,1,,,,"5,1",,,,,,"noDrop,noShop",,,,,羽のついた帽子だ。,A hat with a feather often worn by nobles.
YarCraft_hat_feather_stone,羽帽子,,個,m,feather hat,,,head,,100,,obj_S flat,1236,,,,,100,,*,factory_stone,"rock,texture,+rune",,granite,metal,300,1,1000,0,100,500,0,,,1,,,,"5,1",,,,,,"noDrop,noShop",,,,,羽のついた帽子だ。,A hat with a feather often worn by nobles.
YarCraft_hat_feather_metal,羽帽子,,個,m,feather hat,,,head,,100,,obj_S flat,1236,,,,,100,,*,factory_metal,"ingot,texture,+rune",,iron,metal,300,1,1000,0,100,500,0,,,1,,,,"5,1",,,,,,"noDrop,noShop",,,,,羽のついた帽子だ。,A hat with a feather often worn by nobles.
YarCraft_hat_feather_cloth,羽帽子,,個,m,feather hat,,,head,,100,,obj_S flat,1236,,,,,100,,*,loom,"texture,texture,+rune",,cotton,leather,300,1,1000,0,100,500,0,,,1,,,,"5,1",,,,,,"noDrop,noShop",,,,,羽のついた帽子だ。,A hat with a feather often worn by nobles.
YarCraft_hat_wizard_wood,魔法帽,,個,m,wizard hat,,,head,,100,,obj_S flat,1237,,,,,100,,,factory_wood,"log,texture,+rune",,oak,metal,900,12,1000,0,100,600,0,,,1,,,,"6,4",,,,,,"noDrop,noShop",,,,,魔術師が愛用する帽子だ。,A hat mages often wear.
YarCraft_hat_wizard_stone,魔法帽,,個,m,wizard hat,,,head,,100,,obj_S flat,1237,,,,,100,,,factory_stone,"rock,texture,+rune",,granite,metal,900,12,1000,0,100,600,0,,,1,,,,"6,4",,,,,,"noDrop,noShop",,,,,魔術師が愛用する帽子だ。,A hat mages often wear.
