id,name_JP,unknown_JP,unit_JP,naming,name,unit,unknown,category,***,sort,_tileType,_idRenderData,tiles,altTiles,anime,skins,size,colorMod,colorType,recipeKey,factory,components,disassemble,defMat,tierGroup,value,LV,chance,quality,HP,weight,electricity,trait,elements,range,attackType,offense,substats,defense,lightData,idExtra,idToggleExtra,idActorEx,idSound,tag,workTag,filter,roomName_JP,roomName,detail_JP,detail
YarCraft_ring_of_fire_cold,炎冷の指輪,,個,m,ring of fire and cold,,,ring,,100,,obj_S flat,1214,,,,,,,,,plat/30,,platinum,metal,3000,20,0,0,,1,,EquipItem,"resFire/30,resCold/30,negateSteal",,,,,"10,10",,,,,,"noDrop,noShop",,,,,それは火炎と冷気の耐性を上げる指輪だ,It's a ring that increases Resi of Fire and Cold.
YarCraft_amulet_of_fire_cold,炎冷のお守り,,個,m,amulet of fire and cold,,,amulet,,100,,obj_S flat,1317,,,,,,,,,plat/30,,platinum,metal,3000,20,0,0,,1,,EquipItem,"resFire/30,resCold/30,negateSteal",,,,,"10,10",,,,,,"noDrop,noShop",,,,,それは火炎と冷気の耐性を上げるお守りだ,It's a amulet that increases Resi of Fire and Cold.
YarCraft_ring_of_music,音楽家の指輪,,個,m,ring of music,,,ring,,100,,obj_S flat,1214,,,,,,,,,plat/20,,platinum,metal,2000,20,0,0,,1,,EquipItem,"featPianist/2,music/20",,,,,"10,10",,,,,,"noDrop,noShop",,,,,それは演奏適性を上げる指輪だ,It's a ring that increases Music.
YarCraft_amulet_of_music,音楽家のお守り,,個,m,amulet of music,,,amulet,,100,,obj_S flat,1317,,,,,,,,,plat/20,,platinum,metal,2000,20,0,0,,1,,EquipItem,"featPianist/2,music/20",,,,,"10,10",,,,,,"noDrop,noShop",,,,,それは演奏適性を上げるお守りだ,It's a amulet that increases Music.
YarCraft_dagger_ninto,忍刀,,振り,m,wakizashi,,,dagger,,100,,obj_S EQ,911,,,,,100,,,,"ingot,log,+magic_stone",,iron,metal,500,16,1000,0,100,700,0,,,1,Slash,"4,4,6,5",20,"1,0",,,,,,"noDrop,noShop",,,,,特殊な集団が用いる短剣だ。,A short sword usually worn together with a katana.
YarCraft_dagger_pirate,海賊刀,,振り,m,scimitar,,,dagger,,100,,obj_S EQ,907,,,,,100,,,,"ingot,log,+magic_stone",,iron,metal,500,8,1000,0,100,900,0,,,1,Slash,"3,5,7,3",15,"2,0",,,,,,"noDrop,noShop",,,,,刃が湾曲した短剣だ。,A curved sword.
YarCraft_dagger,短剣,,振り,m,short sword,,,dagger,,100,,obj_S EQ,1026,,,,,100,,,,"ingot,stick,+magic_stone",,iron,metal,500,1,1000,0,100,600,0,,,1,Slash,"2,6,9,4",15,"4,0",,,,,,"noDrop,noShop",,,,,小型の剣だ。,A small double-edged weapon used for close combat.
YarCraft_sword_claymore,大剣,,振り,m,claymore,,,sword,,100,,obj_S EQ,910,,,,,100,,,,"ingot/3,log,+magic_stone",,iron,metal,500,9,1000,0,100,4000,0,,,1,Slash,"3,7,1,8",,,,,,,,"noDrop,noShop",,,,,重量感ある剣だ。,A large sword normally held in two hands.
YarCraft_sword_katana,刀,,振り,m,katana,,,sword,,100,,obj_S EQ,912,,,,,100,,,,"ingot/2,log,+magic_stone",,iron,metal,500,18,1000,0,100,1200,0,,,1,Slash,"4,4,0,6",25,,,,,,,"noDrop,noShop",,,,,異国から来た細身の剣だ。,A unique curved sword made through a folding process.
YarCraft_sword,長剣,,振り,m,long sword,,,sword,,100,,obj_S EQ,1028,,,,,100,,,,"ingot/2,log,+magic_stone",,iron,metal,500,1,1000,0,100,1500,0,,,1,Slash,"2,8,5,4",15,,,,,,,"noDrop,noShop",,,,,細い刀身の剣だ。,A double-edged sword
YarCraft_axe_bardish,大斧,,振り,m,bardish,,,axe,,100,,obj_S EQ,914,,,,,100,,,,"ingot/3,log,string,+magic_stone",,iron,metal,500,17,1000,0,100,3500,0,,lumberjack/4,1,Slash,"1,24,-8,6",,,,,,,,"noDrop,noShop",,supply,,,刃先の広い斧だ。,A single-bladed axe resembling a polearm.
YarCraft_axe_battle,戦斧,,振り,m,battle axe,,,axe,,100,,obj_S EQ,1015,,,,,100,,,,"ingot/3,log,string,+magic_stone",,iron,metal,500,7,1000,0,100,3700,0,,lumberjack/4,1,Slash,"1,20,-3,4",,,,,,,,"noDrop,noShop",,supply,,,戦闘用に加工された斧だ。,A large double-bladed axe
YarCraft_axe_hand,手斧,,振り,m,hand axe,,,axe,,100,,obj_S EQ,900,,,,,100,,,,"ingot/2,log,string,+magic_stone",,iron,metal,500,1,1000,0,100,1600,0,,lumberjack/4,1,Slash,"2,9,4,5",,,,,,,,"noDrop,noShop",,supply,,,小型の斧だ。,A small single-bladed axe.
YarCraft_axe_machine,機械斧,,振り,m,machine axe,,,axe,,100,,obj_S EQ,1011,,,,,100,,,,"ingot/3,log,string,+magic_stone",,iron,metal,500,14,1000,0,100,3200,0,,lumberjack/4,1,Slash,"2,10,5,3",20,,,,,,,"noDrop,noShop",,supply,,,刃先の広い斧だ。,A single-bladed axe resembling a polearm.
YarCraft_blunt_hammer,大槌,,振り,m,Mallet,,,blunt,,100,,obj_S EQ,917,,,,,100,,,,"ingot/3,log,string,+magic_stone",,iron,metal,500,16,1000,0,100,4200,0,,mining/3,1,Blunt,"2,15,-3,4",,,,,,,,"noDrop,noShop",,,,,重量感ある槌だ。,A tool that is sometimes adopted as a weapon
YarCraft_blunt_club,棍棒,,振り,m,club,,,blunt,,100,,obj_S EQ,916,,,,,100,,,,"ingot/2,+magic_stone",,iron,metal,500,1,1000,0,100,1000,0,,mining/3,1,Blunt,"3,4,4,7",,,,,,,,"noDrop,noShop",,,,,素材を削り出して作られた棒だ。,A blunt weapon with a round end that is sometimes spiked.
YarCraft_blunt_mace,メイス,,振り,m,mace,,,blunt,,100,,obj_S EQ,1023,,,,,100,,,,"ingot/2,log,+magic_stone",,iron,metal,500,6,1000,0,100,1600,0,,mining/3,1,Blunt,"4,4,5,5",,,,,,,,"noDrop,noShop",,,,,殴打に特化した合成棍棒だ。,A blunt weapon with a round end that is sometimes spiked.
YarCraft_pole_halberd,鉾槍,,振り,m,halberd,,,polearm,,100,,obj_S EQ,913,,,,,100,,,,"ingot/3,log,string,+magic_stone",,iron,metal,500,20,1000,0,100,3800,0,,meleeDistance/1,1,Pierce,"2,10,-2,1",30,,,,,,,"noDrop,noShop",,,,,複数の使い方が出来る槍だ。,A weapon resembling a spear with the head of an axe.
