id,name_JP,unknown_JP,unit_JP,naming,name,unit,unknown,category,***,sort,_tileType,_idRenderData,tiles,altTiles,anime,skins,size,colorMod,colorType,recipeKey,factory,components,disassemble,defMat,tierGroup,value,LV,chance,quality,HP,weight,electricity,trait,elements,range,attackType,offense,substats,defense,lightData,idExtra,idToggleExtra,idActorEx,idSound,tag,workTag,filter,roomName_JP,roomName,detail_JP,detail
YarCraft_amulet_engagement,結婚首輪,,個,m,结婚项链,条,,amulet,,100,,obj_S flat,1319,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/61",,gold,metal,3000,18,200,0,100,50,0,,,1,,,,,,,,,,"gift,noDrop,noShop",,supply,,,あげた人との友好度を上げる。返ってくることはない。,这是能提高对方好感度的项链。不能要回来。
YarCraft_amulet_engagement__q1,結婚首輪 高品質,,個,m,结婚项链 优质品,条,,amulet,,100,,obj_S flat,1319,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/61,plat",,gold,metal,3000,28,200,1,100,50,0,,,1,,,,,,,,,,"gift,noDrop,noShop",,supply,,,あげた人との友好度を上げる。返ってくることはない。,这是能提高对方好感度的项链。不能要回来。
YarCraft_amulet_engagement__q2,結婚首輪 奇跡,,個,m,结婚项链 奇迹,条,,amulet,,100,,obj_S flat,1319,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/61,plat/5",,gold,metal,3000,48,200,2,100,50,0,,,1,,,,,,,,,,"gift,noDrop,noShop",,supply,,,あげた人との友好度を上げる。返ってくることはない。,这是能提高对方好感度的项链。不能要回来。
YarCraft_amulet_engagement__q3,結婚首輪 神器,,個,m,结婚项链 神器,条,,amulet,,100,,obj_S flat,1319,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/61,plat/10",,gold,metal,3000,68,200,3,100,50,0,,,1,,,,,,,,,,"gift,noDrop,noShop",,supply,,,あげた人との友好度を上げる。返ってくることはない。,这是能提高对方好感度的项链。不能要回来。
YarCraft_amulet_decorative,装飾首輪,,個,m,装饰项链,条,,amulet,,100,,obj_S flat,1320,,,,,100,,*,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/31",,gold,metal,1500,1,1000,0,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,supply,,,幾つかの装飾がされた首輪だ。,这是能提高对方好感度的项链。不能要回来。
YarCraft_amulet_decorative__q1,装飾首輪 高品質,,個,m,装饰项链 优质品,条,,amulet,,100,,obj_S flat,1320,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/31,plat",,gold,metal,1500,11,1000,1,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,supply,,,幾つかの装飾がされた首輪だ。,这是能提高对方好感度的项链。不能要回来。
YarCraft_amulet_decorative__q2,装飾首輪 奇跡,,個,m,装饰项链 奇迹,条,,amulet,,100,,obj_S flat,1320,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/31,plat/5",,gold,metal,1500,31,1000,2,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,supply,,,幾つかの装飾がされた首輪だ。,这是能提高对方好感度的项链。不能要回来。
YarCraft_amulet_decorative__q3,装飾首輪 神器,,個,m,装饰项链 神器,条,,amulet,,100,,obj_S flat,1320,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/31,plat/10",,gold,metal,1500,51,1000,3,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,supply,,,幾つかの装飾がされた首輪だ。,这是能提高对方好感度的项链。不能要回来。
YarCraft_amulet_necklace,ネックレス,,個,m,项链,条,,amulet,,100,,obj_S flat,1221,,,,,100,,*,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/3",,gold,metal,100,3,1000,0,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,supply,,,どこにでもある首飾りだ。,这是很常见的首饰。
YarCraft_amulet_necklace__q1,ネックレス 高品質,,個,m,项链 优质品,条,,amulet,,100,,obj_S flat,1221,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/3,plat",,gold,metal,100,13,1000,1,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,supply,,,どこにでもある首飾りだ。,这是很常见的首饰。
YarCraft_amulet_necklace__q2,ネックレス 奇跡,,個,m,项链 奇迹,条,,amulet,,100,,obj_S flat,1221,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/3,plat/5",,gold,metal,100,33,1000,2,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,supply,,,どこにでもある首飾りだ。,这是很常见的首饰。
YarCraft_amulet_necklace__q3,ネックレス 神器,,個,m,项链 神器,条,,amulet,,100,,obj_S flat,1221,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/3,plat/10",,gold,metal,100,53,1000,3,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,supply,,,どこにでもある首飾りだ。,这是很常见的首饰。
YarCraft_amulet_jewel,細工首輪,,個,m,精工项链,个,,amulet,,100,,obj_S flat,1318,,,,,100,,*,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/37",,gold,metal,1800,5,1000,0,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,supply,,,磨き上げられた首輪だ。,这是抛光的项链。
