id,name_JP,unknown_JP,unit_JP,naming,name,unit,unknown,category,***,sort,_tileType,_idRenderData,tiles,altTiles,anime,skins,size,colorMod,colorType,recipeKey,factory,components,disassemble,defMat,tierGroup,value,LV,chance,quality,HP,weight,electricity,trait,elements,range,attackType,offense,substats,defense,lightData,idExtra,idToggleExtra,idActorEx,idSound,tag,workTag,filter,roomName_JP,roomName,detail_JP,detail
YarCraft_helm_bucket_wood,バケツ,,個,m,桶盔,个,,head,,100,,obj_S flat,1235,,,,,100,,*,factory_wood,"log,texture,string,needle,money/3",,oak,metal,250,2,0,0,100,300,0,,,1,,,,"5,5",,,,,,"noDrop,noShop",,,,,頭部を守る為の防具だ。,这是防护头部的防具。
YarCraft_helm_bucket_stone,バケツ,,個,m,桶盔,个,,head,,100,,obj_S flat,1235,,,,,100,,*,factory_stone,"rock,texture,string,needle,money/3",,granite,metal,250,2,0,0,100,300,0,,,1,,,,"5,5",,,,,,"noDrop,noShop",,,,,頭部を守る為の防具だ。,这是防护头部的防具。
YarCraft_helm_bucket_metal,バケツ,,個,m,桶盔,个,,head,,100,,obj_S flat,1235,,,,,100,,*,factory_metal,"ingot,texture,string,needle,money/3",,iron,metal,250,2,0,0,100,300,0,,,1,,,,"5,5",,,,,,"noDrop,noShop",,,,,頭部を守る為の防具だ。,这是防护头部的防具。
YarCraft_helm_bucket_cloth,バケツ,,個,m,桶盔,个,,head,,100,,obj_S flat,1235,,,,,100,,*,loom,"texture,texture,string,needle,money/3",,cotton,leather,250,2,0,0,100,300,0,,,1,,,,"5,5",,,,,,"noDrop,noShop",,,,,頭部を守る為の防具だ。,这是防护头部的防具。
YarCraft_helm_bucket_wood_q1,バケツ 高品質,,個,m,桶盔 优质品,个,,head,,100,,obj_S flat,1235,,,,,100,,,factory_wood,"log,texture,string,needle,money/3,plat",,oak,metal,250,12,0,1,100,300,0,,,1,,,,"5,5",,,,,,"noDrop,noShop",,,,,頭部を守る為の防具だ。,这是防护头部的防具。
YarCraft_helm_bucket_stone_q1,バケツ 高品質,,個,m,桶盔 优质品,个,,head,,100,,obj_S flat,1235,,,,,100,,,factory_stone,"rock,texture,string,needle,money/3,plat",,granite,metal,250,12,0,1,100,300,0,,,1,,,,"5,5",,,,,,"noDrop,noShop",,,,,頭部を守る為の防具だ。,这是防护头部的防具。
YarCraft_helm_bucket_metal_q1,バケツ 高品質,,個,m,桶盔 优质品,个,,head,,100,,obj_S flat,1235,,,,,100,,,factory_metal,"ingot,texture,string,needle,money/3,plat",,iron,metal,250,12,0,1,100,300,0,,,1,,,,"5,5",,,,,,"noDrop,noShop",,,,,頭部を守る為の防具だ。,这是防护头部的防具。
YarCraft_helm_bucket_cloth_q1,バケツ 高品質,,個,m,桶盔 优质品,个,,head,,100,,obj_S flat,1235,,,,,100,,,loom,"texture,texture,string,needle,money/3,plat",,cotton,leather,250,12,0,1,100,300,0,,,1,,,,"5,5",,,,,,"noDrop,noShop",,,,,頭部を守る為の防具だ。,这是防护头部的防具。
YarCraft_helm_bucket_wood_q2,バケツ 奇跡,,個,m,桶盔 奇迹,个,,head,,100,,obj_S flat,1235,,,,,100,,,factory_wood,"log,texture,string,needle,money/3,plat/5",,oak,metal,250,32,0,2,100,300,0,,,1,,,,"5,5",,,,,,"noDrop,noShop",,,,,頭部を守る為の防具だ。,这是防护头部的防具。
YarCraft_helm_bucket_stone_q2,バケツ 奇跡,,個,m,桶盔 奇迹,个,,head,,100,,obj_S flat,1235,,,,,100,,,factory_stone,"rock,texture,string,needle,money/3,plat/5",,granite,metal,250,32,0,2,100,300,0,,,1,,,,"5,5",,,,,,"noDrop,noShop",,,,,頭部を守る為の防具だ。,这是防护头部的防具。
YarCraft_helm_bucket_metal_q2,バケツ 奇跡,,個,m,桶盔 奇迹,个,,head,,100,,obj_S flat,1235,,,,,100,,,factory_metal,"ingot,texture,string,needle,money/3,plat/5",,iron,metal,250,32,0,2,100,300,0,,,1,,,,"5,5",,,,,,"noDrop,noShop",,,,,頭部を守る為の防具だ。,这是防护头部的防具。
YarCraft_helm_bucket_cloth_q2,バケツ 奇跡,,個,m,桶盔 奇迹,个,,head,,100,,obj_S flat,1235,,,,,100,,,loom,"texture,texture,string,needle,money/3,plat/5",,cotton,leather,250,32,0,2,100,300,0,,,1,,,,"5,5",,,,,,"noDrop,noShop",,,,,頭部を守る為の防具だ。,这是防护头部的防具。
YarCraft_helm_bucket_wood_q3,バケツ 神器,,個,m,桶盔 神器,个,,head,,100,,obj_S flat,1235,,,,,100,,,factory_wood,"log,texture,string,needle,money/3,plat/10",,oak,metal,250,52,0,3,100,300,0,,,1,,,,"5,5",,,,,,"noDrop,noShop",,,,,頭部を守る為の防具だ。,这是防护头部的防具。
YarCraft_helm_bucket_stone_q3,バケツ 神器,,個,m,桶盔 神器,个,,head,,100,,obj_S flat,1235,,,,,100,,,factory_stone,"rock,texture,string,needle,money/3,plat/10",,granite,metal,250,52,0,3,100,300,0,,,1,,,,"5,5",,,,,,"noDrop,noShop",,,,,頭部を守る為の防具だ。,这是防护头部的防具。
YarCraft_helm_bucket_metal_q3,バケツ 神器,,個,m,桶盔 神器,个,,head,,100,,obj_S flat,1235,,,,,100,,,factory_metal,"ingot,texture,string,needle,money/3,plat/10",,iron,metal,250,52,0,3,100,300,0,,,1,,,,"5,5",,,,,,"noDrop,noShop",,,,,頭部を守る為の防具だ。,这是防护头部的防具。
YarCraft_helm_bucket_cloth_q3,バケツ 神器,,個,m,桶盔 神器,个,,head,,100,,obj_S flat,1235,,,,,100,,,loom,"texture,texture,string,needle,money/3,plat/10",,cotton,leather,250,52,0,3,100,300,0,,,1,,,,"5,5",,,,,,"noDrop,noShop",,,,,頭部を守る為の防具だ。,这是防护头部的防具。
YarCraft_helm_wood,兜,,個,m,头盔,个,,head,,100,,obj_S flat,1233,,,,,100,,*,factory_wood,"log/2,texture,string,needle,money/9",,oak,metal,800,8,1000,0,100,700,0,,,1,,,,"3,5",,,,,,"noDrop,noShop",,,,,頭部を守る為の防具だ。,这是防护头部的防具。
YarCraft_helm_stone,兜,,個,m,头盔,个,,head,,100,,obj_S flat,1233,,,,,100,,*,factory_stone,"rock/2,texture,string,needle,money/9",,granite,metal,800,8,1000,0,100,700,0,,,1,,,,"3,5",,,,,,"noDrop,noShop",,,,,頭部を守る為の防具だ。,这是防护头部的防具。
