id,name_JP,unknown_JP,unit_JP,naming,name,unit,unknown,category,***,sort,_tileType,_idRenderData,tiles,altTiles,anime,skins,size,colorMod,colorType,recipeKey,factory,components,disassemble,defMat,tierGroup,value,LV,chance,quality,HP,weight,electricity,trait,elements,range,attackType,offense,substats,defense,lightData,idExtra,idToggleExtra,idActorEx,idSound,tag,workTag,filter,roomName_JP,roomName,detail_JP,detail
YarCraft_dagger_hocho_wood,包丁,,振り,m,菜刀,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,factory_wood,"log,resin,string,money/25",,oak,metal,2400,24,50,0,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用于烹饪的短剑。
YarCraft_dagger_hocho_stone,包丁,,振り,m,菜刀,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,factory_stone,"rock,resin,string,money/25",,granite,metal,2400,24,50,0,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用于烹饪的短剑。
YarCraft_dagger_hocho_metal,包丁,,振り,m,菜刀,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,anvil,"ingot,resin,string,money/25",,iron,metal,2400,24,50,0,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用于烹饪的短剑。
YarCraft_dagger_hocho_cloth,包丁,,振り,m,菜刀,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,loom,"texture,resin,string,money/25",,cotton,leather,2400,24,50,0,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用于烹饪的短剑。
YarCraft_dagger_hocho_wood_q1,包丁 高品質,,振り,m,菜刀 优质品,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,factory_wood,"log,resin,string,money/25,plat",,oak,metal,2400,34,50,1,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用于烹饪的短剑。
YarCraft_dagger_hocho_stone_q1,包丁 高品質,,振り,m,菜刀 优质品,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,factory_stone,"rock,resin,string,money/25,plat",,granite,metal,2400,34,50,1,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用于烹饪的短剑。
YarCraft_dagger_hocho_metal_q1,包丁 高品質,,振り,m,菜刀 优质品,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,anvil,"ingot,resin,string,money/25,plat",,iron,metal,2400,34,50,1,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用于烹饪的短剑。
YarCraft_dagger_hocho_cloth_q1,包丁 高品質,,振り,m,菜刀 优质品,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,loom,"texture,resin,string,money/25,plat",,cotton,leather,2400,34,50,1,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用于烹饪的短剑。
YarCraft_dagger_hocho_wood_q2,包丁 奇跡,,振り,m,菜刀 奇迹,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,factory_wood,"log,resin,string,money/25,plat/5",,oak,metal,2400,54,50,2,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用于烹饪的短剑。
YarCraft_dagger_hocho_stone_q2,包丁 奇跡,,振り,m,菜刀 奇迹,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,factory_stone,"rock,resin,string,money/25,plat/5",,granite,metal,2400,54,50,2,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用于烹饪的短剑。
YarCraft_dagger_hocho_metal_q2,包丁 奇跡,,振り,m,菜刀 奇迹,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,anvil,"ingot,resin,string,money/25,plat/5",,iron,metal,2400,54,50,2,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用于烹饪的短剑。
YarCraft_dagger_hocho_cloth_q2,包丁 奇跡,,振り,m,菜刀 奇迹,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,loom,"texture,resin,string,money/25,plat/5",,cotton,leather,2400,54,50,2,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用于烹饪的短剑。
YarCraft_dagger_hocho_wood_q3,包丁 神器,,振り,m,菜刀 神器,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,factory_wood,"log,resin,string,money/25,plat/10",,oak,metal,2400,74,50,3,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用于烹饪的短剑。
