id,name_JP,unknown_JP,unit_JP,naming,name,unit,unknown,category,***,sort,_tileType,_idRenderData,tiles,altTiles,anime,skins,size,colorMod,colorType,recipeKey,factory,components,disassemble,defMat,tierGroup,value,LV,chance,quality,HP,weight,electricity,trait,elements,range,attackType,offense,substats,defense,lightData,idExtra,idToggleExtra,idActorEx,idSound,tag,workTag,filter,roomName_JP,roomName,detail_JP,detail
YarCraft_dagger_ninto,忍刀,,振り,m,忍刀,把,,dagger,,100,,obj_S EQ,911,,,,,100,,,,"ingot,log,+magic_stone",,iron,metal,500,16,1000,0,100,700,0,,,1,Slash,"4,4,6,5",20,"1,0",,,,,,"noDrop,noShop",,,,,特殊な集団が用いる短剣だ。,特殊团体使用的短剑。
YarCraft_dagger_pirate,海賊刀,,振り,m,海贼刀,把,,dagger,,100,,obj_S EQ,907,,,,,100,,,,"ingot,log,+magic_stone",,iron,metal,500,8,1000,0,100,900,0,,,1,Slash,"3,5,7,3",15,"2,0",,,,,,"noDrop,noShop",,,,,刃が湾曲した短剣だ。,有弯曲刀刃的短剑。
YarCraft_dagger,短剣,,振り,m,短剑,把,,dagger,,100,,obj_S EQ,1026,,,,,100,,,,"ingot,stick,+magic_stone",,iron,metal,500,1,1000,0,100,600,0,,,1,Slash,"2,6,9,4",15,"4,0",,,,,,"noDrop,noShop",,,,,小型の剣だ。,这是小型的剑。
YarCraft_sword_claymore,大剣,,振り,m,大剑,把,,sword,,100,,obj_S EQ,910,,,,,100,,,,"ingot/3,log,+magic_stone",,iron,metal,500,9,1000,0,100,4000,0,,,1,Slash,"3,7,1,8",,,,,,,,"noDrop,noShop",,,,,重量感ある剣だ。,一柄有重量感的剑。
YarCraft_sword_katana,刀,,振り,m,刀,把,,sword,,100,,obj_S EQ,912,,,,,100,,,,"ingot/2,log,+magic_stone",,iron,metal,500,18,1000,0,100,1200,0,,,1,Slash,"4,4,0,6",25,,,,,,,"noDrop,noShop",,,,,異国から来た細身の剣だ。,这是一把来自异国的细长剑。
YarCraft_sword,長剣,,振り,m,长剑,把,,sword,,100,,obj_S EQ,1028,,,,,100,,,,"ingot/2,log,+magic_stone",,iron,metal,500,1,1000,0,100,1500,0,,,1,Slash,"2,8,5,4",15,,,,,,,"noDrop,noShop",,,,,細い刀身の剣だ。,这是有细刀身的剑。
YarCraft_axe_bardish,大斧,,振り,m,大斧,柄,,axe,,100,,obj_S EQ,914,,,,,100,,,,"ingot/3,log,string,+magic_stone",,iron,metal,500,17,1000,0,100,3500,0,,lumberjack/4,1,Slash,"1,24,-8,6",,,,,,,,"noDrop,noShop",,supply,,,刃先の広い斧だ。,宽刃的斧头。
YarCraft_axe_battle,戦斧,,振り,m,战斧,柄,,axe,,100,,obj_S EQ,1015,,,,,100,,,,"ingot/3,log,string,+magic_stone",,iron,metal,500,7,1000,0,100,3700,0,,lumberjack/4,1,Slash,"1,20,-3,4",,,,,,,,"noDrop,noShop",,supply,,,戦闘用に加工された斧だ。,被加工成战斗用的斧头。
YarCraft_axe_hand,手斧,,振り,m,手斧,柄,,axe,,100,,obj_S EQ,900,,,,,100,,,,"ingot/2,log,string,+magic_stone",,iron,metal,500,1,1000,0,100,1600,0,,lumberjack/4,1,Slash,"2,9,4,5",,,,,,,,"noDrop,noShop",,supply,,,小型の斧だ。,这是小型的斧头。
YarCraft_axe_machine,機械斧,,振り,m,机械斧,柄,,axe,,100,,obj_S EQ,1011,,,,,100,,,,"ingot/3,log,string,+magic_stone",,iron,metal,500,14,1000,0,100,3200,0,,lumberjack/4,1,Slash,"2,10,5,3",20,,,,,,,"noDrop,noShop",,supply,,,刃先の広い斧だ。,这是宽刃的斧头。
