id,name_JP,unknown_JP,unit_JP,naming,name,unit,unknown,category,***,sort,_tileType,_idRenderData,tiles,altTiles,anime,skins,size,colorMod,colorType,recipeKey,factory,components,disassemble,defMat,tierGroup,value,LV,chance,quality,HP,weight,electricity,trait,elements,range,attackType,offense,substats,defense,lightData,idExtra,idToggleExtra,idActorEx,idSound,tag,workTag,filter,roomName_JP,roomName,detail_JP,detail
YarCraft_dagger_hocho_wood,包丁,,振り,m,菜刀,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,factory_wood,"log,resin,string,money/25",,oak,metal,2400,24,50,0,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用於烹飪的短劍。
YarCraft_dagger_hocho_stone,包丁,,振り,m,菜刀,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,factory_stone,"rock,resin,string,money/25",,granite,metal,2400,24,50,0,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用於烹飪的短劍。
YarCraft_dagger_hocho_metal,包丁,,振り,m,菜刀,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,anvil,"ingot,resin,string,money/25",,iron,metal,2400,24,50,0,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用於烹飪的短劍。
YarCraft_dagger_hocho_cloth,包丁,,振り,m,菜刀,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,loom,"texture,resin,string,money/25",,cotton,leather,2400,24,50,0,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用於烹飪的短劍。
YarCraft_dagger_hocho_wood_q1,包丁 高品質,,振り,m,菜刀 優質品,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,factory_wood,"log,resin,string,money/25,plat",,oak,metal,2400,34,50,1,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用於烹飪的短劍。
YarCraft_dagger_hocho_stone_q1,包丁 高品質,,振り,m,菜刀 優質品,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,factory_stone,"rock,resin,string,money/25,plat",,granite,metal,2400,34,50,1,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用於烹飪的短劍。
YarCraft_dagger_hocho_metal_q1,包丁 高品質,,振り,m,菜刀 優質品,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,anvil,"ingot,resin,string,money/25,plat",,iron,metal,2400,34,50,1,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用於烹飪的短劍。
YarCraft_dagger_hocho_cloth_q1,包丁 高品質,,振り,m,菜刀 優質品,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,loom,"texture,resin,string,money/25,plat",,cotton,leather,2400,34,50,1,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用於烹飪的短劍。
YarCraft_dagger_hocho_wood_q2,包丁 奇跡,,振り,m,菜刀 奇蹟,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,factory_wood,"log,resin,string,money/25,plat/5",,oak,metal,2400,54,50,2,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用於烹飪的短劍。
YarCraft_dagger_hocho_stone_q2,包丁 奇跡,,振り,m,菜刀 奇蹟,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,factory_stone,"rock,resin,string,money/25,plat/5",,granite,metal,2400,54,50,2,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用於烹飪的短劍。
YarCraft_dagger_hocho_metal_q2,包丁 奇跡,,振り,m,菜刀 奇蹟,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,anvil,"ingot,resin,string,money/25,plat/5",,iron,metal,2400,54,50,2,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用於烹飪的短劍。
YarCraft_dagger_hocho_cloth_q2,包丁 奇跡,,振り,m,菜刀 奇蹟,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,loom,"texture,resin,string,money/25,plat/5",,cotton,leather,2400,54,50,2,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用於烹飪的短劍。
YarCraft_dagger_hocho_wood_q3,包丁 神器,,振り,m,菜刀 神器,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,factory_wood,"log,resin,string,money/25,plat/10",,oak,metal,2400,74,50,3,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用於烹飪的短劍。
YarCraft_dagger_hocho_stone_q3,包丁 神器,,振り,m,菜刀 神器,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,factory_stone,"rock,resin,string,money/25,plat/10",,granite,metal,2400,74,50,3,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用於烹飪的短劍。
YarCraft_dagger_hocho_metal_q3,包丁 神器,,振り,m,菜刀 神器,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,anvil,"ingot,resin,string,money/25,plat/10",,iron,metal,2400,74,50,3,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用於烹飪的短劍。
YarCraft_dagger_hocho_cloth_q3,包丁 神器,,振り,m,菜刀 神器,把,,dagger,,100,,obj_S EQ,1001,,,,,100,,,loom,"texture,resin,string,money/25,plat/10",,cotton,leather,2400,74,50,3,100,400,0,,cooking/4,1,Slash,"1,14,5,1",40,,,,,,,"noDrop,noShop",,,,,主に調理に用いられる短剣だ。,主要用於烹飪的短劍。
YarCraft_dagger_ninto_wood,忍刀,,振り,m,忍刀,把,,dagger,,100,,obj_S EQ,911,,,,,100,,,factory_wood,"log/2,resin,string,money/6",,oak,metal,500,16,1000,0,100,700,0,,,1,Slash,"4,4,6,5",20,"1,0",,,,,,"noDrop,noShop",,,,,特殊な集団が用いる短剣だ。,特殊團體使用的短劍。
YarCraft_dagger_ninto_stone,忍刀,,振り,m,忍刀,把,,dagger,,100,,obj_S EQ,911,,,,,100,,,factory_stone,"rock/2,resin,string,money/6",,granite,metal,500,16,1000,0,100,700,0,,,1,Slash,"4,4,6,5",20,"1,0",,,,,,"noDrop,noShop",,,,,特殊な集団が用いる短剣だ。,特殊團體使用的短劍。
YarCraft_dagger_ninto_metal,忍刀,,振り,m,忍刀,把,,dagger,,100,,obj_S EQ,911,,,,,100,,,anvil,"ingot/2,resin,string,money/6",,iron,metal,500,16,1000,0,100,700,0,,,1,Slash,"4,4,6,5",20,"1,0",,,,,,"noDrop,noShop",,,,,特殊な集団が用いる短剣だ。,特殊團體使用的短劍。
YarCraft_dagger_ninto_cloth,忍刀,,振り,m,忍刀,把,,dagger,,100,,obj_S EQ,911,,,,,100,,,loom,"texture/2,resin,string,money/6",,cotton,leather,500,16,1000,0,100,700,0,,,1,Slash,"4,4,6,5",20,"1,0",,,,,,"noDrop,noShop",,,,,特殊な集団が用いる短剣だ。,特殊團體使用的短劍。
YarCraft_dagger_ninto_wood_q1,忍刀 高品質,,振り,m,忍刀 優質品,把,,dagger,,100,,obj_S EQ,911,,,,,100,,,factory_wood,"log/2,resin,string,money/6,plat",,oak,metal,500,26,1000,1,100,700,0,,,1,Slash,"4,4,6,5",20,"1,0",,,,,,"noDrop,noShop",,,,,特殊な集団が用いる短剣だ。,特殊團體使用的短劍。
YarCraft_dagger_ninto_stone_q1,忍刀 高品質,,振り,m,忍刀 優質品,把,,dagger,,100,,obj_S EQ,911,,,,,100,,,factory_stone,"rock/2,resin,string,money/6,plat",,granite,metal,500,26,1000,1,100,700,0,,,1,Slash,"4,4,6,5",20,"1,0",,,,,,"noDrop,noShop",,,,,特殊な集団が用いる短剣だ。,特殊團體使用的短劍。
YarCraft_dagger_ninto_metal_q1,忍刀 高品質,,振り,m,忍刀 優質品,把,,dagger,,100,,obj_S EQ,911,,,,,100,,,anvil,"ingot/2,resin,string,money/6,plat",,iron,metal,500,26,1000,1,100,700,0,,,1,Slash,"4,4,6,5",20,"1,0",,,,,,"noDrop,noShop",,,,,特殊な集団が用いる短剣だ。,特殊團體使用的短劍。
YarCraft_dagger_ninto_cloth_q1,忍刀 高品質,,振り,m,忍刀 優質品,把,,dagger,,100,,obj_S EQ,911,,,,,100,,,loom,"texture/2,resin,string,money/6,plat",,cotton,leather,500,26,1000,1,100,700,0,,,1,Slash,"4,4,6,5",20,"1,0",,,,,,"noDrop,noShop",,,,,特殊な集団が用いる短剣だ。,特殊團體使用的短劍。
YarCraft_dagger_ninto_wood_q2,忍刀 奇跡,,振り,m,忍刀 奇蹟,把,,dagger,,100,,obj_S EQ,911,,,,,100,,,factory_wood,"log/2,resin,string,money/6,plat/5",,oak,metal,500,46,1000,2,100,700,0,,,1,Slash,"4,4,6,5",20,"1,0",,,,,,"noDrop,noShop",,,,,特殊な集団が用いる短剣だ。,特殊團體使用的短劍。
YarCraft_dagger_ninto_stone_q2,忍刀 奇跡,,振り,m,忍刀 奇蹟,把,,dagger,,100,,obj_S EQ,911,,,,,100,,,factory_stone,"rock/2,resin,string,money/6,plat/5",,granite,metal,500,46,1000,2,100,700,0,,,1,Slash,"4,4,6,5",20,"1,0",,,,,,"noDrop,noShop",,,,,特殊な集団が用いる短剣だ。,特殊團體使用的短劍。
YarCraft_dagger_ninto_metal_q2,忍刀 奇跡,,振り,m,忍刀 奇蹟,把,,dagger,,100,,obj_S EQ,911,,,,,100,,,anvil,"ingot/2,resin,string,money/6,plat/5",,iron,metal,500,46,1000,2,100,700,0,,,1,Slash,"4,4,6,5",20,"1,0",,,,,,"noDrop,noShop",,,,,特殊な集団が用いる短剣だ。,特殊團體使用的短劍。
YarCraft_dagger_ninto_cloth_q2,忍刀 奇跡,,振り,m,忍刀 奇蹟,把,,dagger,,100,,obj_S EQ,911,,,,,100,,,loom,"texture/2,resin,string,money/6,plat/5",,cotton,leather,500,46,1000,2,100,700,0,,,1,Slash,"4,4,6,5",20,"1,0",,,,,,"noDrop,noShop",,,,,特殊な集団が用いる短剣だ。,特殊團體使用的短劍。
YarCraft_dagger_ninto_wood_q3,忍刀 神器,,振り,m,忍刀 神器,把,,dagger,,100,,obj_S EQ,911,,,,,100,,,factory_wood,"log/2,resin,string,money/6,plat/10",,oak,metal,500,66,1000,3,100,700,0,,,1,Slash,"4,4,6,5",20,"1,0",,,,,,"noDrop,noShop",,,,,特殊な集団が用いる短剣だ。,特殊團體使用的短劍。
YarCraft_dagger_ninto_stone_q3,忍刀 神器,,振り,m,忍刀 神器,把,,dagger,,100,,obj_S EQ,911,,,,,100,,,factory_stone,"rock/2,resin,string,money/6,plat/10",,granite,metal,500,66,1000,3,100,700,0,,,1,Slash,"4,4,6,5",20,"1,0",,,,,,"noDrop,noShop",,,,,特殊な集団が用いる短剣だ。,特殊團體使用的短劍。
YarCraft_dagger_ninto_metal_q3,忍刀 神器,,振り,m,忍刀 神器,把,,dagger,,100,,obj_S EQ,911,,,,,100,,,anvil,"ingot/2,resin,string,money/6,plat/10",,iron,metal,500,66,1000,3,100,700,0,,,1,Slash,"4,4,6,5",20,"1,0",,,,,,"noDrop,noShop",,,,,特殊な集団が用いる短剣だ。,特殊團體使用的短劍。
YarCraft_dagger_ninto_cloth_q3,忍刀 神器,,振り,m,忍刀 神器,把,,dagger,,100,,obj_S EQ,911,,,,,100,,,loom,"texture/2,resin,string,money/6,plat/10",,cotton,leather,500,66,1000,3,100,700,0,,,1,Slash,"4,4,6,5",20,"1,0",,,,,,"noDrop,noShop",,,,,特殊な集団が用いる短剣だ。,特殊團體使用的短劍。
YarCraft_dagger_pirate_wood,海賊刀,,振り,m,海賊刀,把,,dagger,,100,,obj_S EQ,907,,,,,100,,*,factory_wood,"log/2,resin,string,money/6",,oak,metal,500,8,1000,0,100,900,0,,,1,Slash,"3,5,7,3",15,"2,0",,,,,,"noDrop,noShop",,,,,刃が湾曲した短剣だ。,有彎曲刀刃的短劍。
YarCraft_dagger_pirate_stone,海賊刀,,振り,m,海賊刀,把,,dagger,,100,,obj_S EQ,907,,,,,100,,*,factory_stone,"rock/2,resin,string,money/6",,granite,metal,500,8,1000,0,100,900,0,,,1,Slash,"3,5,7,3",15,"2,0",,,,,,"noDrop,noShop",,,,,刃が湾曲した短剣だ。,有彎曲刀刃的短劍。
YarCraft_dagger_pirate_metal,海賊刀,,振り,m,海賊刀,把,,dagger,,100,,obj_S EQ,907,,,,,100,,*,anvil,"ingot/2,resin,string,money/6",,iron,metal,500,8,1000,0,100,900,0,,,1,Slash,"3,5,7,3",15,"2,0",,,,,,"noDrop,noShop",,,,,刃が湾曲した短剣だ。,有彎曲刀刃的短劍。
YarCraft_dagger_pirate_cloth,海賊刀,,振り,m,海賊刀,把,,dagger,,100,,obj_S EQ,907,,,,,100,,*,loom,"texture/2,resin,string,money/6",,cotton,leather,500,8,1000,0,100,900,0,,,1,Slash,"3,5,7,3",15,"2,0",,,,,,"noDrop,noShop",,,,,刃が湾曲した短剣だ。,有彎曲刀刃的短劍。
YarCraft_dagger_pirate_wood_q1,海賊刀 高品質,,振り,m,海賊刀 優質品,把,,dagger,,100,,obj_S EQ,907,,,,,100,,,factory_wood,"log/2,resin,string,money/6,plat",,oak,metal,500,18,1000,1,100,900,0,,,1,Slash,"3,5,7,3",15,"2,0",,,,,,"noDrop,noShop",,,,,刃が湾曲した短剣だ。,有彎曲刀刃的短劍。
YarCraft_dagger_pirate_stone_q1,海賊刀 高品質,,振り,m,海賊刀 優質品,把,,dagger,,100,,obj_S EQ,907,,,,,100,,,factory_stone,"rock/2,resin,string,money/6,plat",,granite,metal,500,18,1000,1,100,900,0,,,1,Slash,"3,5,7,3",15,"2,0",,,,,,"noDrop,noShop",,,,,刃が湾曲した短剣だ。,有彎曲刀刃的短劍。
